"year","month","temperature"
1812,"Cічень",NA
1813,"Cічень",-9.6
1814,"Cічень",-2.4
1815,"Cічень",-10.8
1816,"Cічень",-2.6
1817,"Cічень",-1.9
1818,"Cічень",-3.1
1819,"Cічень",-2.4
1820,"Cічень",-7
1821,"Cічень",-2.1
1822,"Cічень",-2.6
1823,"Cічень",-12.1
1824,"Cічень",-3.5
1825,"Cічень",-3.3
1826,"Cічень",-8.9
1827,"Cічень",-2
1828,"Cічень",-11.2
1829,"Cічень",-11.6
1830,"Cічень",-11.5
1831,"Cічень",-8.6
1832,"Cічень",-6.8
1833,"Cічень",-7.7
1834,"Cічень",-5.6
1835,"Cічень",-4.8
1836,"Cічень",-6.6
1837,"Cічень",-5.8
1838,"Cічень",-15.1
1839,"Cічень",-5.9
1840,"Cічень",-4.8
1841,"Cічень",-6.8
1842,"Cічень",-11.4
1843,"Cічень",-2.3
1844,"Cічень",-5.8
1845,"Cічень",-3.7
1847,"Cічень",-9.8
1851,"Cічень",NA
1852,"Cічень",-2.9
1853,"Cічень",-2.1
1854,"Cічень",-7
1855,"Cічень",-8.7
1856,"Cічень",-1.7
1857,"Cічень",-3.6
1858,"Cічень",-7.4
1859,"Cічень",-3.8
1860,"Cічень",-3.3
1861,"Cічень",-14.6
1862,"Cічень",-12.1
1863,"Cічень",-2.9
1864,"Cічень",-7.9
1865,"Cічень",-3.5
1866,"Cічень",-1.9
1867,"Cічень",-2.2
1868,"Cічень",-7.5
1869,"Cічень",-8.8
1870,"Cічень",-4.1
1871,"Cічень",-10
1872,"Cічень",-3.6
1873,"Cічень",-1.2
1874,"Cічень",-3.6
1875,"Cічень",-5.9
1876,"Cічень",-9.3
1877,"Cічень",-8
1878,"Cічень",-7.5
1879,"Cічень",-8.4
1880,"Cічень",-9.2
1881,"Cічень",-9.9
1882,"Cічень",-1.4
1883,"Cічень",-10.2
1884,"Cічень",-3.5
1885,"Cічень",-6.3
1886,"Cічень",-4
1887,"Cічень",-4.3
1888,"Cічень",-8.5
1889,"Cічень",-9.4
1890,"Cічень",-4
1891,"Cічень",-9
1892,"Cічень",-7.6
1893,"Cічень",-14.6
1894,"Cічень",-8.1
1895,"Cічень",-2
1896,"Cічень",-10.7
1897,"Cічень",-6.9
1898,"Cічень",-2.9
1899,"Cічень",-0.3
1900,"Cічень",-5.1
1901,"Cічень",-6.2
1902,"Cічень",-0.4
1903,"Cічень",-4.6
1904,"Cічень",-6.8
1905,"Cічень",-7.4
1906,"Cічень",-3.7
1907,"Cічень",-7.7
1908,"Cічень",-4.7
1909,"Cічень",-8.9
1910,"Cічень",-3.4
1911,"Cічень",-6.3
1912,"Cічень",-8.8
1913,"Cічень",-5.1
1914,"Cічень",-5
1915,"Cічень",-2.7
1916,"Cічень",-2.1
1917,"Cічень",-8.2
1918,"Cічень",-2.5
1919,"Cічень",-4.6
1920,"Cічень",-4.6
1921,"Cічень",-1.1
1922,"Cічень",-8.6
1923,"Cічень",-2.6
1924,"Cічень",-11.8
1925,"Cічень",-0.3
1926,"Cічень",-5.8
1927,"Cічень",-8.2
1928,"Cічень",-5.3
1929,"Cічень",-8.8
1930,"Cічень",-2.2
1931,"Cічень",-7
1932,"Cічень",-2.5
1933,"Cічень",-9.2
1934,"Cічень",-6.4
1935,"Cічень",-9.9
1936,"Cічень",0.4
1937,"Cічень",-9.1
1938,"Cічень",-6
1939,"Cічень",-2.8
1940,"Cічень",-11.2
1941,"Cічень",-9.9
1942,"Cічень",-15
1943,"Cічень",-9.6
1944,"Cічень",-2.1
1945,"Cічень",-7.7
1946,"Cічень",-5.5
1947,"Cічень",-9.7
1948,"Cічень",-1.2
1949,"Cічень",-1.8
1950,"Cічень",-12.4
1951,"Cічень",-5.1
1952,"Cічень",-1.6
1953,"Cічень",-4.7
1954,"Cічень",-12.5
1955,"Cічень",-3.6
1956,"Cічень",-4.3
1957,"Cічень",-4.1
1958,"Cічень",-3.8
1959,"Cічень",-2.1
1960,"Cічень",-4.8
1961,"Cічень",-4.5
1962,"Cічень",-1.2
1963,"Cічень",-13.8
1964,"Cічень",-6.5
1965,"Cічень",-4.8
1966,"Cічень",-3.9
1967,"Cічень",-9.8
1968,"Cічень",-9
1969,"Cічень",-9.8
1970,"Cічень",-5.5
1971,"Cічень",-3
1972,"Cічень",-10.9
1973,"Cічень",-6.9
1974,"Cічень",-5.7
1975,"Cічень",0.4
1976,"Cічень",-5.8
1977,"Cічень",-6.4
1978,"Cічень",-5.8
1979,"Cічень",-5.4
1980,"Cічень",-7.2
1981,"Cічень",NA
1982,"Cічень",-3.1
1983,"Cічень",-0.5
1984,"Cічень",-2.4
1985,"Cічень",-9.5
1986,"Cічень",-2.7
1987,"Cічень",-13.7
1988,"Cічень",-4.8
1989,"Cічень",0.5
1990,"Cічень",-0.1
1991,"Cічень",-1.6
1992,"Cічень",-1.8
1993,"Cічень",-1.2
1994,"Cічень",0.1
1995,"Cічень",-3.9
1996,"Cічень",-9.8
1997,"Cічень",-5.7
1998,"Cічень",-1
1999,"Cічень",-2.2
2000,"Cічень",-4.1
2001,"Cічень",-1
2002,"Cічень",-2.6
2003,"Cічень",-3.8
2004,"Cічень",-4.3
2005,"Cічень",-0.6
2006,"Cічень",-7.5
2007,"Cічень",2.1
2008,"Cічень",-3
2009,"Cічень",-3.3
2010,"Cічень",-8.8
2011,"Cічень",-2.4
2012,"Cічень",-4
2013,"Cічень",-4.3
2014,"Cічень",-4.8
1812,"Лютий",-4.4
1813,"Лютий",-2.4
1814,"Лютий",-8.4
1815,"Лютий",-3.1
1816,"Лютий",-7
1817,"Лютий",-0.4
1818,"Лютий",-0.8
1819,"Лютий",-4.4
1820,"Лютий",-5.5
1821,"Лютий",-4.5
1822,"Лютий",-1.7
1823,"Лютий",-5
1824,"Лютий",-2.4
1825,"Лютий",-5.6
1826,"Лютий",-6.3
1827,"Лютий",-6
1828,"Лютий",-10.3
1829,"Лютий",-7.6
1830,"Лютий",-7.7
1831,"Лютий",-4.9
1832,"Лютий",-5
1833,"Лютий",-2.8
1834,"Лютий",-7.3
1835,"Лютий",-1.4
1836,"Лютий",-3.1
1837,"Лютий",-5.9
1838,"Лютий",-6.2
1839,"Лютий",-5
1840,"Лютий",-5.9
1841,"Лютий",-12.2
1842,"Лютий",-5.2
1843,"Лютий",4.1
1844,"Лютий",-1.7
1845,"Лютий",-9.2
1847,"Лютий",-3.2
1851,"Лютий",NA
1852,"Лютий",-5.1
1853,"Лютий",-2.9
1854,"Лютий",-5.1
1855,"Лютий",-7.4
1856,"Лютий",-4.2
1857,"Лютий",-7.4
1858,"Лютий",-8.9
1859,"Лютий",-2
1860,"Лютий",-4.2
1861,"Лютий",-5.1
1862,"Лютий",-11.9
1863,"Лютий",-1.9
1864,"Лютий",-4
1865,"Лютий",-9.5
1866,"Лютий",-5.5
1867,"Лютий",-3.2
1868,"Лютий",-6.7
1869,"Лютий",0.5
1870,"Лютий",-11.9
1871,"Лютий",-10.6
1872,"Лютий",-11.1
1873,"Лютий",-5.7
1874,"Лютий",-4.8
1875,"Лютий",-7.6
1876,"Лютий",-3.9
1877,"Лютий",-5.2
1878,"Лютий",-3.6
1879,"Лютий",-1.9
1880,"Лютий",-8.4
1881,"Лютий",-6.2
1882,"Лютий",-2.5
1883,"Лютий",-7.7
1884,"Лютий",-1.6
1885,"Лютий",-3.4
1886,"Лютий",-8.6
1887,"Лютий",-6.2
1888,"Лютий",-9.7
1889,"Лютий",-3.9
1890,"Лютий",-6.8
1891,"Лютий",-6.4
1892,"Лютий",-2.3
1893,"Лютий",-5.2
1894,"Лютий",-2.6
1895,"Лютий",-7.5
1896,"Лютий",-5.1
1897,"Лютий",-3.9
1898,"Лютий",-4.9
1899,"Лютий",-3.3
1900,"Лютий",-3.2
1901,"Лютий",-6.4
1902,"Лютий",-3.2
1903,"Лютий",-0.2
1904,"Лютий",-1.3
1905,"Лютий",-3.5
1906,"Лютий",-4.7
1907,"Лютий",-8.1
1908,"Лютий",-2.6
1909,"Лютий",-9
1910,"Лютий",-1
1911,"Лютий",-10.8
1912,"Лютий",-6.1
1913,"Лютий",-4.1
1914,"Лютий",0.7
1915,"Лютий",-3.3
1916,"Лютий",-2.5
1917,"Лютий",-11
1918,"Лютий",-2.8
1919,"Лютий",-5.3
1920,"Лютий",-5.3
1921,"Лютий",-6.5
1922,"Лютий",-5.4
1923,"Лютий",-8.4
1924,"Лютий",-7.4
1925,"Лютий",1.5
1926,"Лютий",-4.8
1927,"Лютий",-6.4
1928,"Лютий",-7.9
1929,"Лютий",-15.9
